episode_length,episode_reward,epoch,epsilon,mean_reward_100,step,success_rate_100,train_loss
48.0,1.0,0,0.9835000038146973,1.0,49,1.0,
26.0,1.0,0,0.9670000076293945,1.0,99,1.0,
26.0,1.0,0,0.9505000114440918,1.0,149,1.0,
100.0,0.0,0,0.9340000152587891,0.6666666865348816,199,0.6666666865348816,
100.0,0.0,0,0.9175000190734863,0.6666666865348816,249,0.6666666865348816,
18.0,1.0,0,0.9010000228881836,0.6000000238418579,299,0.6000000238418579,
18.0,1.0,0,0.8845000267028809,0.6000000238418579,349,0.6000000238418579,
13.0,1.0,0,0.8679999709129333,0.7142857313156128,399,0.7142857313156128,
13.0,1.0,0,0.8514999747276306,0.7142857313156128,449,0.7142857313156128,
20.0,1.0,0,0.8349999785423279,0.6666666865348816,499,0.6666666865348816,
20.0,1.0,0,0.8184999823570251,0.6666666865348816,549,0.6666666865348816,
80.0,1.0,0,0.8019999861717224,0.699999988079071,599,0.699999988079071,0.00933639332652092
80.0,1.0,0,0.7854999899864197,0.699999988079071,649,0.699999988079071,0.019936801865696907
84.0,1.0,0,0.7689999938011169,0.7272727489471436,699,0.7272727489471436,0.02594287134706974
62.0,1.0,0,0.7524999976158142,0.75,749,0.75,0.011224307119846344
40.0,1.0,0,0.7360000014305115,0.7692307829856873,799,0.7692307829856873,0.020050732418894768
95.0,1.0,0,0.7195000052452087,0.7857142686843872,849,0.7857142686843872,0.011273965239524841
95.0,1.0,0,0.703000009059906,0.7857142686843872,899,0.7857142686843872,0.008531513623893261
67.0,1.0,0,0.6865000128746033,0.800000011920929,949,0.800000011920929,0.020358318462967873
67.0,1.0,0,0.6700000166893005,0.800000011920929,999,0.800000011920929,0.019012508913874626
14.0,1.0,0,0.6535000205039978,0.7777777910232544,1049,0.7777777910232544,0.04362967610359192
31.0,1.0,0,0.6370000243186951,0.7894737124443054,1099,0.7894737124443054,0.02826518379151821
31.0,1.0,0,0.6205000281333923,0.7894737124443054,1149,0.7894737124443054,0.008583289571106434
100.0,0.0,0,0.6039999723434448,0.75,1199,0.75,0.010408759117126465
100.0,0.0,0,0.5874999761581421,0.75,1249,0.75,0.016135605052113533
100.0,0.0,0,0.5709999799728394,0.7142857313156128,1299,0.7142857313156128,0.006703039165586233
100.0,0.0,0,0.5544999837875366,0.7142857313156128,1349,0.7142857313156128,0.02362837642431259
100.0,0.0,0,0.5379999876022339,0.6818181872367859,1399,0.6818181872367859,0.008232894353568554
100.0,0.0,0,0.5214999914169312,0.6818181872367859,1449,0.6818181872367859,0.026690946891903877
100.0,0.0,0,0.5049999952316284,0.6521739363670349,1499,0.6521739363670349,0.016452861949801445
100.0,0.0,0,0.4884999990463257,0.6521739363670349,1549,0.6521739363670349,0.011116067878901958
100.0,0.0,0,0.47200000286102295,0.625,1599,0.625,0.01066552847623825
100.0,0.0,0,0.4555000066757202,0.625,1649,0.625,0.019182799383997917
100.0,0.0,0,0.4390000104904175,0.6000000238418579,1699,0.6000000238418579,0.008614029735326767
100.0,0.0,0,0.42250001430511475,0.6000000238418579,1749,0.6000000238418579,0.027787940576672554
100.0,0.0,0,0.4059999883174896,0.5769230723381042,1799,0.5769230723381042,0.018210595473647118
100.0,0.0,0,0.3894999921321869,0.5769230723381042,1849,0.5769230723381042,0.04060870036482811
100.0,0.0,0,0.37299999594688416,0.5555555820465088,1899,0.5555555820465088,0.008691377937793732
68.0,1.0,0,0.3564999997615814,0.5714285969734192,1949,0.5714285969734192,0.026904935017228127
42.0,1.0,0,0.3400000035762787,0.5862069129943848,1999,0.5862069129943848,0.02671918272972107
42.0,1.0,0,0.32350000739097595,0.5862069129943848,2049,0.5862069129943848,0.014488805085420609
100.0,0.0,0,0.3070000112056732,0.5666666626930237,2099,0.5666666626930237,0.022970279678702354
30.0,1.0,0,0.2904999852180481,0.5806451439857483,2149,0.5806451439857483,0.006471993867307901
77.0,1.0,0,0.27399998903274536,0.59375,2199,0.59375,0.015815967693924904
77.0,1.0,0,0.2574999928474426,0.59375,2249,0.59375,0.026999736204743385
79.0,1.0,0,0.2409999966621399,0.6060606241226196,2299,0.6060606241226196,0.0076636020094156265
79.0,1.0,0,0.22450000047683716,0.6060606241226196,2349,0.6060606241226196,0.02770804800093174
100.0,0.0,0,0.20800000429153442,0.5882353186607361,2399,0.5882353186607361,0.01618000864982605
100.0,0.0,0,0.1914999932050705,0.5882353186607361,2449,0.5882353186607361,0.029671497642993927
100.0,0.0,0,0.17499999701976776,0.5714285969734192,2499,0.5714285969734192,0.019086482003331184
100.0,0.0,0,0.15850000083446503,0.5714285969734192,2549,0.5714285969734192,0.007445160299539566
100.0,0.0,0,0.1420000046491623,0.5555555820465088,2599,0.5555555820465088,0.016888853162527084
100.0,0.0,0,0.12549999356269836,0.5555555820465088,2649,0.5555555820465088,0.0051217167638242245
100.0,0.0,0,0.10899999737739563,0.5405405163764954,2699,0.5405405163764954,0.013240435160696507
100.0,0.0,0,0.0925000011920929,0.5405405163764954,2749,0.5405405163764954,0.008685781620442867
100.0,0.0,0,0.07599999755620956,0.5263158082962036,2799,0.5263158082962036,0.008294978179037571
100.0,0.0,0,0.05950000137090683,0.5263158082962036,2849,0.5263158082962036,0.03781137242913246
100.0,0.0,0,0.0430000014603138,0.5128205418586731,2899,0.5128205418586731,0.007520720362663269
100.0,0.0,0,0.026499999687075615,0.5128205418586731,2949,0.5128205418586731,0.01715906523168087
100.0,0.0,0,0.009999999776482582,0.5,2999,0.5,0.00594116747379303
100.0,0.0,0,0.009999999776482582,0.5,3049,0.5,0.015862664207816124
100.0,0.0,0,0.009999999776482582,0.4878048896789551,3099,0.4878048896789551,0.02689552865922451
100.0,0.0,0,0.009999999776482582,0.4878048896789551,3149,0.4878048896789551,0.006628446280956268
100.0,0.0,0,0.009999999776482582,0.4761904776096344,3199,0.4761904776096344,0.009785818867385387
100.0,0.0,0,0.009999999776482582,0.4761904776096344,3249,0.4761904776096344,0.024882296100258827
100.0,0.0,0,0.009999999776482582,0.4651162922382355,3299,0.4651162922382355,0.014698120765388012
100.0,0.0,0,0.009999999776482582,0.4651162922382355,3349,0.4651162922382355,0.008019978180527687
100.0,0.0,0,0.009999999776482582,0.4545454680919647,3399,0.4545454680919647,0.006125199142843485
100.0,0.0,0,0.009999999776482582,0.4545454680919647,3449,0.4545454680919647,0.004708751570433378
100.0,0.0,0,0.009999999776482582,0.4444444477558136,3499,0.4444444477558136,0.00537664582952857
100.0,0.0,0,0.009999999776482582,0.4444444477558136,3549,0.4444444477558136,0.004895753692835569
100.0,0.0,0,0.009999999776482582,0.43478259444236755,3599,0.43478259444236755,0.006815310567617416
100.0,0.0,0,0.009999999776482582,0.43478259444236755,3649,0.43478259444236755,0.03387695178389549
100.0,0.0,0,0.009999999776482582,0.42553192377090454,3699,0.42553192377090454,0.016346996650099754
100.0,0.0,0,0.009999999776482582,0.42553192377090454,3749,0.42553192377090454,0.0169280506670475
100.0,0.0,0,0.009999999776482582,0.4166666567325592,3799,0.4166666567325592,0.03365793079137802
100.0,0.0,0,0.009999999776482582,0.4166666567325592,3849,0.4166666567325592,0.02447480522096157
100.0,0.0,0,0.009999999776482582,0.40816327929496765,3899,0.40816327929496765,0.025572016835212708
100.0,0.0,0,0.009999999776482582,0.40816327929496765,3949,0.40816327929496765,0.024862656369805336
100.0,0.0,0,0.009999999776482582,0.4000000059604645,3999,0.4000000059604645,0.006321524735540152
100.0,0.0,0,0.009999999776482582,0.4000000059604645,4049,0.4000000059604645,0.006777618080377579
100.0,0.0,0,0.009999999776482582,0.3921568691730499,4099,0.3921568691730499,0.012902905233204365
100.0,0.0,0,0.009999999776482582,0.3921568691730499,4149,0.3921568691730499,0.005033203866332769
100.0,0.0,0,0.009999999776482582,0.38461539149284363,4199,0.38461539149284363,0.01723322831094265
100.0,0.0,0,0.009999999776482582,0.38461539149284363,4249,0.38461539149284363,0.03517638519406319
100.0,0.0,0,0.009999999776482582,0.37735849618911743,4299,0.37735849618911743,0.035344015806913376
100.0,0.0,0,0.009999999776482582,0.37735849618911743,4349,0.37735849618911743,0.004866950213909149
100.0,0.0,0,0.009999999776482582,0.37037035822868347,4399,0.37037035822868347,0.0037717025261372328
100.0,0.0,0,0.009999999776482582,0.37037035822868347,4449,0.37037035822868347,0.0040238648653030396
100.0,0.0,0,0.009999999776482582,0.3636363744735718,4499,0.3636363744735718,0.0055077518336474895
100.0,0.0,0,0.009999999776482582,0.3636363744735718,4549,0.3636363744735718,0.014500539749860764
100.0,0.0,0,0.009999999776482582,0.3571428656578064,4599,0.3571428656578064,0.005323681514710188
100.0,0.0,0,0.009999999776482582,0.3571428656578064,4649,0.3571428656578064,0.004296286962926388
100.0,0.0,0,0.009999999776482582,0.35087719559669495,4699,0.35087719559669495,0.004789910279214382
100.0,0.0,0,0.009999999776482582,0.35087719559669495,4749,0.35087719559669495,0.0030670464038848877
100.0,0.0,0,0.009999999776482582,0.3448275923728943,4799,0.3448275923728943,0.004671995993703604
