epoch,step,train_loss
0,799,0.0007751521188765764
0,849,0.001333382329903543
0,899,0.00014444239786826074
0,949,0.00045599613804370165
0,999,0.0001457200269214809
0,1049,0.0004564270202536136
0,1099,0.00021360814571380615
0,1149,0.0003051706007681787
0,1199,4.7366767830681056e-05
0,1249,0.00030443185823969543
0,1299,0.0003615829045884311
0,1349,0.00046035650302655995
0,1399,0.00014360196655616164
0,1449,0.00010416070290375501
0,1499,0.0005151315126568079
0,1549,0.0002267341478727758
0,1599,0.00013536798360291868
0,1649,0.0001627286255825311
0,1699,0.00028307019965723157
0,1749,0.00013479360495693982
0,1799,0.00015403362340293825
0,1849,0.00011637332499958575
0,1899,8.22147267172113e-05
0,1949,0.00010636758815962821
0,1999,0.00027994942502118647
0,2049,7.243517757160589e-05
0,2099,6.907475471962243e-05
0,2149,8.039506792556494e-05
0,2199,7.287180051207542e-05
0,2249,0.00011827585694845766
0,2299,2.8026173822581768e-05
0,2349,8.464821439702064e-05
0,2399,0.00019897136371582747
0,2449,0.0002835430786944926
0,2499,6.667985871899873e-05
0,2549,0.00011713549611158669
0,2599,3.3985070331254974e-05
0,2649,0.0001281257573282346
0,2699,3.8753827539039776e-05
0,2749,4.3348023609723896e-05
0,2799,7.99304834799841e-05
0,2849,2.0333378415671177e-05
0,2899,7.550452573923394e-05
0,2949,4.588274168781936e-05
0,2999,3.72250797227025e-05
0,3049,6.553466664627194e-05
0,3099,0.00014390372962225229
0,3149,4.2857594962697476e-05
0,3199,4.8977577534969896e-05
0,3249,8.690102549735457e-05
0,3299,4.9627986300038174e-05
0,3349,2.1119863959029317e-05
0,3399,6.566605588886887e-05
0,3449,6.775825750082731e-05
0,3499,4.1007027903106064e-05
0,3549,3.613542503444478e-05
0,3599,2.735618909355253e-05
0,3649,5.158261410542764e-05
0,3699,6.689158180961385e-05
0,3749,3.727756120497361e-05
0,3799,5.249852256383747e-05
0,3849,2.920405677286908e-05
0,3899,8.61171429278329e-05
0,3949,3.242970706196502e-05
0,3999,4.065360553795472e-05
0,4049,2.1384610590757802e-05
0,4099,3.7186939152888954e-05
0,4149,2.449734165566042e-05
0,4199,1.9702485587913543e-05
0,4249,3.864409518428147e-05
0,4299,2.167369530070573e-05
0,4349,3.7804806197527796e-05
0,4399,6.723190017510206e-05
0,4449,2.0442956156330183e-05
0,4499,1.727233211568091e-05
0,4549,3.947795266867615e-05
0,4599,3.606791142374277e-05
0,4649,2.2023064957465976e-05
0,4699,4.576014180202037e-05
0,4749,4.7276378609240055e-05
0,4799,2.5450304747209884e-05
0,4849,3.504889536998235e-05
0,4899,2.1107613065396436e-05
0,4949,1.4874637599859852e-05
0,4999,6.384093012457015e-06
0,5049,6.9823090598220006e-06
0,5099,0.12255621701478958
0,5149,0.0007154906634241343
0,5199,0.002078658202663064
0,5249,0.001335421926341951
0,5299,0.0020969442557543516
0,5349,0.0006472954992204905
0,5399,0.00017954135546460748
0,5449,0.00029089010786265135
0,5499,0.00042096644756384194
0,5549,0.00016359602159354836
0,5599,0.00015447028272319585
0,5649,0.0001680465938989073
0,5699,0.00012363928544800729
0,5749,7.40901887184009e-05
0,5799,3.595755697460845e-05
0,5849,7.076243491610512e-05
0,5899,8.301133493660018e-05
0,5949,3.0611456168117e-05
0,5999,0.000139682597364299
0,6049,5.2465777116594836e-05
0,6099,6.153965659905225e-05
0,6149,3.3236341550946236e-05
0,6199,0.12075209617614746
0,6249,0.00010473462316440418
0,6299,3.628283957368694e-05
0,6349,0.0002761759969871491
0,6399,0.0024141082540154457
0,6449,0.001156433834694326
0,6499,0.0021844475995749235
0,6549,0.0011371986474841833
0,6599,0.00010277652472723275
0,6649,0.0008579976274631917
0,6699,0.0008686733199283481
0,6749,0.0018976732390001416
0,6799,0.0002685203216969967
0,6849,0.00028833484975621104
0,6899,0.000469609338324517
0,6949,0.0003869799547828734
0,6999,0.0006607293616980314
0,7049,0.00013703975128009915
0,7099,8.933935168897733e-05
0,7149,0.0002022744156420231
0,7199,0.00018907233607023954
0,7249,7.196463411673903e-05
0,7299,0.00013271543139126152
0,7349,0.0010859546018764377
0,7399,8.204017649404705e-05
0,7449,0.0001852806017268449
0,7499,0.00010699624544940889
0,7549,8.836690540192649e-05
0,7599,3.143338835798204e-05
0,7649,8.142582373693585e-05
0,7699,7.603003177791834e-05
0,7749,7.475772144971415e-05
0,7799,5.0198032113257796e-05
0,7849,2.1419404220068827e-05
0,7899,5.094392690807581e-05
0,7949,0.00018277086201123893
0,7999,0.00012708800204563886
0,8049,0.00016535131726413965
0,8099,8.458785305265337e-05
0,8149,5.136388062965125e-05
0,8199,0.00013096650945954025
0,8249,4.349683877080679e-05
0,8299,6.565208605024964e-05
0,8349,7.169090622483054e-06
0,8399,2.8100319468649104e-05
0,8449,9.724316623760387e-05
0,8499,1.1804208043031394e-05
0,8549,0.00012024575698887929
0,8599,3.782067506108433e-05
0,8649,3.3042539143934846e-05
0,8699,5.014716225559823e-05
0,8749,0.0004432577406987548
0,8799,0.00046177307376638055
0,8849,0.00021527176431845874
0,8899,9.818419493967667e-05
0,8949,0.0001006971433525905
0,8999,0.00037299570976756513
0,9049,0.00011196653940714896
0,9099,0.00012418857659213245
0,9149,8.80440857145004e-05
0,9199,9.956269059330225e-05
0,9249,0.00015202874783426523
0,9299,9.536166908219457e-05
0,9349,0.00020474706252571195
0,9399,0.00011425714183133096
0,9449,0.00015129210078157485
0,9499,0.00011180414003320038
0,9549,2.7891317586181685e-05
0,9599,7.026825187494978e-05
0,9649,4.919811908621341e-05
0,9699,8.452238398604095e-05
0,9749,8.102088759187609e-05
0,9799,8.598943531978875e-05
0,9849,3.446350820013322e-05
0,9899,1.1532193639141042e-05
0,9949,0.00010470332927070558
0,9999,8.133495430229232e-05
